Spanish,French
casado,marié
protegido,protégé
propuesta,proposition
intercambio,partage
Filadelfia,crême Philadelphia
portal,portail
esperando,attendre
cumpleaños,date d'anniversaire
beta,bêta
fallar,échouer
gratis,gratuitement
bancario,bancaire
oficiales,fonctionnaires
brian,Brian
hacia,vers
ganado,a gagné
levemente,légèrement
ayudar,aider
conducta,conduite
contenido,contenue
lencería,lingerie
legislación,législation
vocación,appel
parámetros,paramètres
jazz,le jazz
servicio,portion
pantalón,Sacs
perfiles,profils
Miami,miami
historietas,des bandes dessinées
asuntos,questions
casas,Maisons
Doc,doc
postal,postal
relaciones,des relations
Tennesse,Tennessee
vestir,porter
control S,les contrôles
rotura,rupture
conjunto,combiné
último,ultime
Gales,Pays de Galles
representante,représentant
frecuencia,la fréquence
introducido,introduit
menor,mineur
terminar,terminer
departamentos,départements
residentes,résidents
señalado,c'est noté
desplegado,affiché
mamá,maman
reducido,réduit
física,la physique
raro,rare
gastado,dépensé
realizado,effectué
extremo,extrême
muestras,échantillons
Davis,davis
Daniel,Daniel
barras,bars
revisados,examiné
hilera,ligne
onz,oz
pronóstico,prévision
remoto,supprimé
ayuda,aide
individual,simple
administrador,administrateur
ciclo,cycle
cantidades,les montants
Contiene,contenir
precisión,précision
doble,double
subir,augmenter
Dólar estadounidense,USD
dormir,dormir
mg,mg
pájaro,oiseau
farmacia,pharmacie
Brasil,Brésil
creación,création
estático,statique
escena,scène
cazador,chasseur
direcciones,adresses
señora,Dame
cristal,cristal
famoso,célèbre
escritor,écrivain
presidente,président
violencia,la violence
aficionados,Ventilateurs
Oklahoma,Oklahoma
Altavoces,haut-parleurs
bebida,boire
academia,académie
dinámica,dynamique
género,genre
come,manger
permanente,permanent
agricultura,agriculture
Dell,dell
limpieza,nettoyage
que constituye,constitue
portafolio,portefeuille
práctico,pratique
entregado,livré
coleccionables,objets de collection
infraestructura,Infrastructure
exclusivo,exclusif
asiento,siège
preocupaciones,préoccupations
color,Couleur
vendedor,vendeur
originalmente,initialement
intel,intel
utilidades,utilité
filosofía,philosophie
regulación,régulation
oficiales,officiers
reducción,réduction
apuntar,objectif
ofertas,offres
referido,renvoyé
apoyos,les soutiens
nutrición,nutrition
grabación,enregistrement
regiones,Régions
júnior,junior
peaje,peage
les,les
capa,cap
Ana,Ann
anillos,anneaux
sentido,sens
propina,Astuce
secundario,secondaire
maravilloso,formidable
mía,Mien
señoras,Dames
Enrique,Henri
billete,billet
Anunciado,annoncé
adivinar,deviner
acordado,D'accord
prevención,la prévention
quién,qui
esquí,ski
fútbol,football
Matemáticas,math
importar,importer
destino,affectation
presencia,présence
instante,instant
mencionado,mentionné
automático,automatique
cuidado de la salud,soins de santé
visita,affichage
mantenido,entretenu
ch,ch
creciente,en augmentant
mayoria,majorité
conectado,connecté
Cristo,Christ
dan,dan
perros,chiens
Dakota del Sur,Dakota du Sud
directores,directeurs
aspectos,aspects
Austria,L'Autriche
adelante,devant
Luna,lune
participación,participation
esquema,schème
utilidad,utilitaire
avance,Aperçu
mosca,mouche
conducta,manière
matriz,matrice
que contiene,contenant
combinación,combinaison
devolver,développer
enmienda,amendement
A pesar de,malgré
fuerza,force
garantizado,garanti
pavo,Turquie
bibliotecas,bibliothèques
adecuado,correct
repartido,distribué
grados,degrés
Singapur,Singapour
empresa,entreprises
delta,delta
temor,peur
buscando,en cherchant
pulgadas,pouces
fénix,phénix
rs,rs
convención,convention
Comparte,actions
principal,principal
hija,la fille
de pie,debout
comodidad,confort
colores,couleurs
guerras,guerres
cisco,cisco
pedido,commandement
conservó,conservé
alfa,alpha
apelación,faire appel
crucero,croisière
prima,prime
Certificación,certification
previamente,précédemment
Oye,Hey
marcador,signet
edificios,immeubles
especiales,spécialités
derrotar,battre
disney,disney
familiar,Ménage
baterías,piles
adobe,adobe
de fumar,fumeur
bbc,BBC
se convierte en,devient
accionamientos,disques
brazos,les bras
Alabama,Alabama
té,thé
mejorado,amélioré
árboles,des arbres
avg,aversion
lograr,réaliser
posiciones,position
vestido,robe
suscripción,abonnement
distribuidor,Marchand
contemporáneo,contemporain
cielo,ciel
Utah,Utah
cercano,proche
ROM,ROM
transportado,transporté
ocurrir,arriver
exposición,exposition
Panasonic,panasonique
esconder,cacher
Permalink,permanent
firma,Signature
juego,jeux d'argent
referir,référer
molinero,meunier
provisión,disposition
al aire libre,en plein air
ropa,vêtements
causado,causé
lujo,luxe
chicas,babes
marcos,cadres
ciertamente,certainement
Por supuesto,En effet
periódico,un journal
juguete,jouet
circuito,circuit
capa,couche
impreso,imprimé
lento,lent
eliminación,suppression
más fácil,Plus facile
src,src
responsabilidad,responsabilité
marca comercial,marque déposée
cadera,hanche
impresoras,imprimantes
preguntas frecuentes,faqs
nueve,neuf
añadido,ajouter
Kentucky,Kentucky
principalmente,principalement
Eric,eric
lugar,endroit
taylor,Taylor
rastrear,retracer
huellas dactilares,imprimerie
gastar,dépenser
fábrica,usine
interior,intérieur
revisado,modifié
crecer,grandir
estadounidenses,les Américains
óptico,optique
promoción,promotion
relativo,relatif
increíble,incroyable
reloj,l'horloge
punto,point
VIH,VIH
identidad,identité
suites,suites
conversión,conversion
sentimiento,sentiment
oculto,caché
razonable,raisonnable
victoria,victoria
de serie,en série
alivio,soulagement
revisión,révision
banda ancha,haut débit
influencia,influence
proporción,rapport
PDA,pda
importancia,importance
lluvia,pluie
sobre,sur
dsl,dsl
planeta,planète
administrador de página web,webmaster
copias,copies
receta,Recette
zum,zum
permiso,permis
viendo,voyant
prueba,preuve
ADN,ADN
difunto,diffuser
tenis,tennis
bajo,basse
prescripción,prescription
Cuarto,chambre
vacío,vide
ejemplo,exemple
agujero,trou
mascotas,animaux domestiques
paseo,balade
con licencia,autorisé
orlando,orlando
específicamente,Plus précisément
Tim,Tim
oficina,bureau
Maine,Maine
sql,sql
representar,représenter
conservación,préservation
par,paire
ideal,idéal
especificaciones,spécifications
grabado,enregistré
don,enfiler
piezas,pièces
finalizado,fini
parques,parcs
cena,dîner
abogados,avocats
Sydney,Sydney
estrés,stress
crema,crème
ss,SS
carreras,courir
tendencias,les tendances
sí,Oui
descubrir,découvrir
AP,ap
patrones,motifs
cajas,des boites
Luisiana,Louisiane
sierras,collines
javascript,javascript
cuatro,Quatrième
Nuevo Méjico,nm
tutor,conseiller
Minnesota,mn
mercado,marché
Dakota del Norte,nd
maldad,mal
consciente,au courant
Wilson,wilson
forma,forme
evolución,évolution
irlandesa,irlandais
certificados,certificats
objetivos,objectifs
estaciones,stations
sugirió,suggéré
GPS,GPS
op,op
permanece,restes
accidente,accessoire
más grande,plus grand
firmas,entreprises
preocupado,concerné
euro,euro
operador,opérateur
estructuras,structures
genérico,générique
enciclopedia,encyclopédie
uso,usage
gorra,casquette
tinta,encrer
gráficos,graphiques
continuo,continu
mezclado,mixte
censo,recensement
interracial,interracial
cima,Pic
Tennesse,tn
competitivo,compétitif
existe,exister
rueda,roue
tránsito,transit
proveedores,Fournisseurs
sal,sel
compacto,compact
poesía,poésie
luces,lumières
seguimiento,suivi
Ángel,ange
campana,cloche
acuerdo,en gardant
preparación,préparation
intento,tentative
recepción,réception
partidos,allumettes
conformidad,conformité
ancho,largeur
ruido,bruit
motores,moteurs
olvidar,Oubliez
formación,déployer
discutido,discuté
preciso,précis
stephen,Stephen
elizabeth,Elizabeth
clima,climat
reservas,Réservations
alfiler,épingler
estación de juegos,playstation
alcohol,de l'alcool
griego,grec
instrucción,instruction
gerente,gérant
anotación,annotation
hermana,sœur
crudo,cru
diferencias,différences
caminando,marche à pied
explicar,Explique
menor,plus petite
el más nuevo,nouveau
establecer,établir
ñu,gnou
sucedió,passé
expresado,exprimé
jeff,jeff
grado,Le degré
afilado,tranchant
lesbianas,lesbiennes
ben,ben
carril,voie
párrafo,paragraphe
matar,tuer
matemáticas,mathématiques
aol,aol
compensación,compensation
ce,crevé
exportar,exportation
gerentes,gestionnaires
aeronave,avion
módulos,modules
Suecia,Suède
conflicto,conflit
realizado,mené
versiones,versions
empleador,employeur
ocurrir,se produire
porcentaje,pourcentage
conocido,sait
Misisipí,Mississippi
describir,décris
preocupación,préoccuper
respaldo,sauvegarde
solicitado,demandé
los ciudadanos,citoyens
Connecticut,Connecticut
herencia,patrimoine
mensajes personales,rencontres
inmediato,immédiat
tenencia,en portant
problema,difficulté
propagar,diffuser
entrenador,entraîneur
kevin,kevin
agrícola,agricole
expandir,développer
secundario,justificatif
audiencia,public
asignado,attribué
Jordán,Jordan
colecciones,collections
siglos,âge
participar,participer
enchufar,prise de courant
especialista,spécialiste
cocinera,cuisiner
afectar,affecter
Virgen,vierge
experimentado,expérimenté
investigación,enquête
elevado,soulevé
sombrero,chapeau
institución,institution
dirigido,dirigé
distribuidores,concessionnaires
buscando,recherche
deportivo,sportif
Ayudar,portion
perl,perl
afectado,affecté
lib,liberté
bicicleta,bicyclette
totalmente,totalement
plato,assiette
gastos,dépenses
indicar,indiquer
Rubio,blond
ab,un B
actas,procédure
favorito,favori
transmisión,transmission
anderson,Anderson
UTC,UTC
características,caractéristiques
der,der
perder,perdre
orgánico,biologique
buscar,chercher
experiencias,expériences
álbumes,albums
trampa,triche
extremadamente,extrêmement
vezeichnis,Verzeichnis
contrato,contrats
huéspedes,invités
alojado,hébergé
enfermedades,maladies
sobre,concernant
desarrolladores,développeurs
equivalente,équivalent
química,chimie
tony,Tony
vecindario,quartier
Nevada,Nevada
kits,kits
Tailandia,Thaïlande
variables,variables
agenda,ordre du jour
de todas formas,De toute façon
continúa,continue
pistas,des pistes
consultivo,consultatif
leva,came
plan de estudios,curriculum
lógica,logique
plantilla,modèle
Príncipe,prince
circulo,cercle
tierra,sol
subsidios,subventions
en cualquier sitio,partout
psicología,psychologie
respuestas,réponses
atlántico,atlantique
mojado,mouiller
circunstancias,conditions
Eduardo,edward
inversor,investisseur
identificación,identification
RAM,RAM
dejando,en quittant
fauna silvestre,faune
accesorios,appareils électroménagers
mate,mat
elemental,élémentaire
Cocinando,cuisson
discurso,Parlant
patrocinadores,sponsors
zorro,Renard
ilimitado,illimité
responder,répondre
tamaños,tailles
sencillo,plaine
Salida,sortir
ingresó,entré
Irán,l'Iran
brazo,bras
teclas,clés
lanzamiento,lancement
ola,vague
comprobación,vérification
costa,Costa
Bélgica,la Belgique
imprimible,imprimable
santo,Saint
hechos,actes
Guia,conseils
malla,engrener
sendero,Piste
aplicación,mise en vigueur
símbolo,symbole
artesanía,artisanat
autopista,Autoroute
compañero,copain
de tapa dura,couverture
observado,observé
decano,doyen
configuración,mettre en place
encuesta,sondage
reserva,réservation
glosario,glossaire
fiscal,fiscal
celebridad,célébrité
estilos,modes
Denver,denver
unix,unix
lleno,rempli
vínculo,lier
canales,canaux
Ericsson,Ericsson
apéndice,annexe
notificar,notifier
blues,blues
chocolate,Chocolat
pub,pub
parte,portion
alcance,portée
hampshire,hampshire
proveedor,le fournisseur
cables,câbles
algodón,coton
Bluetooth,Bluetooth
revisado,contrôlé
requisito,exigence
autoridades,les autorités
biología,la biologie
dental,dentaire
delicado,tué
frontera,frontière
antiguo,ancien
debate,débat
representantes,représentants
empieza,départs
el embarazo,grossesse
causa,causes
arkansas,Arkansas
biografía,Biographie
ocio,loisirs
atracciones,attractions
aprendió,appris
actas,transactions
computadora portátil,carnet
explorador,explorateur
histórico,historique
adjunto,ci-joint
abrió,ouvert
tm,tm
marido,mari
discapacitado,désactivée
autorizado,autorisé
loco,fou
próximo,A venir
Bretaña,Grande-Bretagne
concierto,concert
Jubilación,retraite
puntuaciones,scores
financiación,financement
eficiencia,Efficacité
sp,SP
comedia,comédie
adoptado,adopté
eficiente,efficace
weblog,weblog
lineal,linéaire
compromiso,engagement
especialidad,spécialité
osos,ours
vaquero,jean
brincar,sauter
transportador,transporteur
editado,édité
constante,constant
visa,visa
boca,bouche
judío,juif
metro,mètre
vinculado,lié
Portland,portulaire
entrevista,interviews
conceptos,concepts
Nueva Hampshire,NH
pistola,arme à feu
reflejar,réfléchir
puro,pur
entregar,livrer
preguntarse,merveille
lecciones,cours
Fruta,fruit
comienza,commence
calificado,qualifié
reforma,réforme
lente,lentille
alertas,alerte
tratado,traité
descubrimiento,Découverte
dibujar,dessiner
mysql,mysql
clasificado,classifié
relativo,relatif
asumir,présumer
confianza,confiance
Alianza,Alliance
fm,féminin
confirmar,confirmer
cálido,chaleureux
ninguno,ni
Luis,lewis
Howard,howard
desconectado,hors ligne
sale de,feuilles
ingeniero,ingénieur
estilo de vida,mode de vie
consistente,cohérent
reemplazar,remplacer
autorización,autorisation
conexiones,Connexions
inventario,inventaire
convertidor,convertisseur
organización,organisation
bebé,bébé
cheques,chèques
alcanzó,parvenu
convirtiéndose,devenant
safari,safari
objetivo,objectif
indicado,indiqué
azúcar,du sucre
tripulación,équipage
piernas,jambes
sam,sam
palo,coller
valores,titres
Allen,allen
pdt,PDT
relación,relation
activado,activée
género,genre
diapositiva,faire glisser
Montana,Montana
voluntario,bénévole
probado,testé
trasero,arrière
democrático,démocratique
mejorar,améliorer
Suiza,la Suisse
exacto,exact
ligado,bondir
parámetro,paramètre
adaptador,adaptateur
procesador,processeur
nodo,nœud
formal,formel
dimensiones,dimensions
contribuir,contribuer
cerrar con llave,fermer à clé
hockey,le hockey
tormenta,tempête
micro,micro
colegios,collèges
laptops,ordinateurs portables
milla,mile
presentado,montré
desafíos,défis
editores,éditeurs
de los hombres,Pour des hommes
hilos,filetage
bol,bol
supremo,suprême
hermanos,frères
reconocimiento,reconnaissance
presenta,présentation
árbitro,refaire
tanque,Char
sumisión,soumission
muñecas,poupée
estimar,estimation
alentar,encourager
Armada,marine
niño,enfant
regulador,réglementaire
inspección,inspection
consumidores,consommateurs
cancelar,Annuler
límites,limites
territorio,territoire
transacción,transaction
Manchester,Manchester
armas,armes
pintura,Peinture
demora,retard
piloto,pilote
toma de corriente,sortie
contribuciones,contributions
continuo,continu
db,dB
checo,tchèque
resultante,résultant
cambridge,cambridge
iniciativa,initiative
novela,roman
sartén,la poêle
ejecución,exécution
discapacidad,invalidité
aumentos,augmente
ultra,ultra
ganador,gagnant
Idaho,Idaho
contratista,prestataire
pH,pH
episodio,épisode
examen,examen
alfarero,potier
plato,assiette
obras de teatro,pièces
boletín,bulletin
I a,ia
pt,pt
indica,indique
modificar,modifier
Oxford,oxford
Adán,Adam
verdaderamente,vraiment
epinions,épinions
cuadro,La peinture
comprometido,engagé
extenso,extensif
accesible,abordable
universo,univers
candidato,candidat
bases de datos,bases de données
patentar,brevet
espacio,insérer
psp,psp
sobresaliente,exceptionnel
decir ah,Ha
comiendo,manger
perspectiva,perspective
planificado,prévu
mirando,en train de regarder
presentar,loge
Mensajero,Messager
espejo,miroir
torneo,tournoi
consideración,considération
ds,ds
descuento,rabais
libra esterlina,sterling
sesiones,sessions
núcleo,noyau
cepo,stocks
compradores,acheteurs
revistas,journaux
gris,gris
Catálogo,catalogue
EA,ea
jennifer,jennifer
Antonio,Antonio
cargado,accusé
amplio,vaste
taiwán,Taïwan
und,und
elegido,choisi
manifestación,démo
Grecia,Grèce
lg,lg
suizo,Suisse
sarah,sarah
Clark,clark
labor,la main d'oeuvre
odio,détester
Terminal,Terminal
editores,éditeurs
noches,nuits
en nombre de,au nom de
caribe,Caraïbes
líquido,liquide
arroz,riz
Nebraska,Nebraska
círculo,boucle
salario,un salaire
reserva,réservation
alimentos,nourriture
gastrónomo,gourmet
Guardia,gardien
adecuadamente,correctement
Orleans,Orléans
ahorro,économie
nfl,nfl
restante,restant
imperio,Empire
reanudar,reprendre
20,vingt
recién,nouvellement
aumentar,augmenter
preparar,préparer
avatar,avatar
gary,garie
dependiente,"en fonction, dépendemment"
ilegal,illégal
expansión,expansion
variar,varier
cientos,centaines
Roma,Rome
árabe,arabe
Lincoln,lincoln
ayudó,aidé
primer ministro,premier
mañana,demain
comprado,acheté
Leche,Le Lait
decidir,décider
consentimiento,consentement
drama,drame
visitando,visiter
ejecutando,exécutant
centro,centre ville
teclado,clavier
concurso,concours
recogido,collecté
noroeste,nw
bandas,bandes
bota,botte
apropiado,qui convient
ff,FF
absolutamente,Tout à fait
millones,des millions
comida,déjeuner
auditoría,Audit
empujar,pousser
cámara,chambre
Guinea,Guinée
recomendaciones,résultats
músculo,muscle
Con,avec
Yo asi,iso
implementar,mettre en place
haciendo clic en,en cliquant
programado,programmé
centro,les sondages
típico,typique
torre,la tour
tuyo,les vôtres
suma,somme
misericordioso,masse
calculadora,calculatrice
significativamente,significativement
pollo,poulet
temporal,temporaire
asistir,assister
ducha,douche
alan,alan
enviando,Envoi en cours
Jason,jason
esta noche,ce soir
querido,chère
suficiente,suffisant
holdel,titulaire
cascarón,coquille
provincia,Province
católico,catholique
roble,chêne
IVA,T.V.A
conciencia,sensibilisation
vancouver,vancouver
gobernador,gouverneur
cerveza,Bière
pareció,semblait
contribución,contribution
medición,la mesure
nadando,nager
spyware,Spyware
fórmula,formule
constitución,Constitution
embalaje,emballage
solar,solaire
José,jose
captura,attraper
jane,Jeanne
Pakistán,Pakistan
PD,ps
de confianza,fiable
consulta,consultation
noroeste,Nord Ouest
señor,Monsieur
duda,doute
ganar,gagner
descubridor,chercheur
incapaz,incapable
periodos,périodes
salón de clases,salle de cours
Tareas,Tâches
democracia,la démocratie
ataque,attaques
kim,kim
fondo de pantalla,fond d'écran
mercancías,marchandise
const,const
resistencia,la résistance
puertas,des portes
síntomas,symptômes
resorts,centres de villégiature
más grande,plus grand
monumento,Mémorial
visitante,visiteur
mellizo,double
adelante,en avant
insertar,insérer
Baltimore,balte
puerta,passerelle
Kentucky,ky
no,pas
alumni,anciens élèves
dibujo,dessin
candidatos,candidats
charlotte,Charlotte
ordenado,commandé
biológico,biologique
luchando,combat
transición,transition
sucede,arrive
preferencias,préférences
espiar,espionner
romance,romance
instrumento,instrument
bruce,bruce
separar,diviser
temas,thèmes
potestades,pouvoirs
cielo,paradis
br,branlette
bits,morceaux
embarazada,Enceinte
dos veces,à deux reprises
clasificación,classification
enfocado,concentré
Egipto,Egypte
médico,médecin
Hollywood,hollywood
negociar,bonne affaire
wikipedia,Wikipédia
celular,cellulaire
Noruega,Norvège
Vermont,Vermont
pidiendo,demander
bloques,blocs
normalmente,normalement
lo,lo
espiritual,spirituel
caza,chasse
diabetes,Diabète
traje,combinaison
ml,ml
cambio,décalage
chip,ébrécher
res,résolution
sentarse,asseoir
cuerpos,corps
fotografías,photographies
corte,Coupe
Guau,Wow
Simón,Simon
escritores,écrivains
marcas,Des marques
flexible,souple
amado,aimé
favoritos,favoris
cartografía,cartographie
numeroso,nombreux
relativamente,relativement
aves,des oiseaux
satisfacción,la satisfaction
representa,représente
carbonizarse,carboniser
indexado,indexé
Pittsburgh,pittsburgh
superior,supérieur
privilegiado,préféré
salvado,enregistré
pago,payant
dibujos animados,dessin animé
tiros,coups
intelectual,intellectuel
Moore,moore
otorgado,accordé
opciones,les choix
carbón,carbone
gasto,dépenses
cómodo,confortable
magnético,magnétique
Interacción,interaction
escuchando,écoute
efectivamente,effectivement
registro,enregistrement
crisis,crise
panorama,perspectives
masivo,massif
Dinamarca,Danemark
empleado,employé
brillante,brillant
tratar,traiter
encabezamiento,entête
cs,cs
pobreza,la pauvreté
formado,formé
piano,piano
eco,écho
What,que
red,la grille
hojas,des draps
Patricio,patrick
experimental,expérimental
puertón,puerto
revolución,révolution
consolidación,consolidation
pantallas,affichage
plasma,plasma
permitido,permettant
ganancias,gains
VoIP,VoIP
misterio,mystère
paisaje,paysage
dependiente,dépendant
mecánico,mécanique
viaje,périple
Delaware,Delaware
ofertas,enchère
consultores,consultants
riesgos,des risques
bandera,bannière
solicitante,demandeur
carta,charte
higo,figure
Bárbara,barbara
cooperación,la coopération
condados,comtés
adquisición,acquisition
puertos,ports
implementado,mis en œuvre
sf,sf
directorios,répertoires
Reconocido,reconnu
Sueños,rêves
blogger,blogueur
notificación,notification
kg,kg
Licencia,licence
soportes,des stands
enseñar,enseigner
ocurrió,eu lieu
libros de texto,manuels scolaires
rápido,rapide
jalar,tirer
peludo,poilu
diversidad,la diversité
cleveland,Cleveland
Utah,Utah
marcha atrás,inverser
depositar,verser
seminario,séminaire
inversiones,investissements
latina,latina
nasa,nasa
ruedas,roues
especificar,spécifier
accesibilidad,accessibilité
holandés,néerlandais
sensible,sensible
plantillas,modèles
formatos,formats
pestaña,languette
depende,dépend
botas,bottes
sostiene,titulaire
enrutador,routeur
hormigón,béton
si,si
edición,édition
Polonia,Pologne
carpeta,dossier
De las mujeres,aux femmes
CSS,CSS
terminación,achèvement
subir,télécharger
legumbres,impulsion
universidades,les universités
técnica,technique
contratistas,entrepreneurs
votación,vote
tribunales,tribunaux
notificaciones,notification
suscripciones,abonnements
calcular,calculer
mc,mc
detroit,detroit
Alejandro,Alexandre
transmisión,diffuser
convertido,converti
metro,métro
toshiba,toshiba
aniversario,anniversaire
mejoras,amélioration
banda,déshabiller
especificación,spécification
perla,perle
accidente,accident
mella,pseudo
accesible,accessible
accesorio,accessoire
residente,résident
trama,terrain
cantidad,quantité
posiblemente,peut-être
aerolínea,Compagnie aérienne
típicamente,typiquement
representación,représentation
respecto,qui concerne
bomba,pompe
existe,existe
preparativos,arrangements
liso,lisse
conferencias,conférences
uniprotkb,uniprotkb
Huelga,frapper
consumo,consommation
birmingham,Birmingham
brillante,clignotant
lp,lp
estrecho,étroit
tarde,après midi
amenaza,menace
encuestas,enquêtes
sentado,séance
poniendo,en mettant
consultor,consultant
controlador,manette
propiedad,la possession
comités,comités
legislativo,législatif
investigadores,des chercheurs
Vietnam,Vietnam
remolque,bande annonce
Ana,annane
castillo,château
jardines,jardins
omitido,manqué
Malasia,Malaisie
darse de baja,Se désabonner
antiguo,antique
etiquetas,Étiquettes
dispuesto,disposé
bio,bio
molecular,moléculaire
interino,agissant
cabezas,têtes
almacenado,stocké
examen,examen
logotipos,logos
residencia,résidence
abogados,Avocats
antigüedades,antiquités
densidad,densité
centenar,cent
ryan,ryan
operadores,les opérateurs
extraño,étrange
sostenible,durable
Filipinas,philippines
estadístico,statistique
camas,des lits
mencionar,mention
innovación,innovation
PCS,pcs
empleadores,employeurs
gris,gris
paralelo,parallèle
honda,honda
modificado,modifié
funcionar,fonctionner
facturas,factures
negrita,gras
cuarto de baño,salle de bains
estable,stable
ópera,opéra
definiciones,définitions
von,von
médicos,médecins
lección,cours
cine,cinéma
activo,actif
Ag,agile
escanear,analyse
elecciones,élections
Bebiendo,en buvant
reacción,réaction
blanco,Vide
mejorado,amélioré
intitulado,intitulé
grave,sévère
generar,produire
inoxidable,inoxydable
periódicos,journaux
hospitales,hôpitaux
vi,vi
de lujo,de luxe
humor,humour
Envejecido,vieilli
monitores,moniteurs
excepción,exception
vivido,vivait
duración,durée
a granel,masse
exitosamente,avec succès
Indonesia,Indonésie
de conformidad con,en vertu de
sci,Sci
tela,en tissu
EDT,EDT
visitas,visites
ante todo,principalement
ajustado,serré
dominios,domaines
capacidades,capacités
pmid,pem
contraste,contraste
recomendación,recommandation
volador,en volant
reclutamiento,recrutement
pecado,péché
Berlina,Berlin
lindo,mignonne
organizado,organisé
licenciado en Letras,Ba
paraca,para
siemens,Siemens
adopción,adoption
mejorando,amélioration
cr,Cr
costoso,cher
quiso decir,censé
capturar,Capturer
libras,livres sterling
búfalo,buffle
organizaciones,organisations
plano,avion
pg,pg
explicado,expliqué
semilla,la graine
programas,programmes
deseo,désir
pericia,compétence
mecanismo,mécanisme
cámping,camping
ee,ee
joyería,bijoux
Satisface,se rencontre
bienestar,bien-être
mirar,pair
atrapó,attrapé
finalmente,finalement
marcado,marqué
impulsado,conduit
Medido,mesuré
mediación,mec
botella,bouteille
acuerdos,les accords
considerando,considérant
innovador,innovant
marshall,marshall
masaje,massage
caucho,caoutchouc
conclusión,conclusion
clausura,fermeture
tampa,tampa
mil,mille
carne,Viande
leyenda,Légende
gracia,la grâce
Susan,Susan
En g,ing
Kansas,ks
Adams,adams
pitón,python
monstruo,monstre
Alex,alex
estallido,claquer
villa,villa
hueso,OS
columnas,Colonnes
trastornos,troubles
insectos,Bugs
colaboración,collaboration
Hamilton,hamilton
detección,détection
ftp,ftp
galletas,biscuits
interno,intérieur
formación,formation
tutorial,Didacticiel
medicina,mec
ingenieros,ingénieurs
entidad,entité
cruceros,Croisières
portón,portail
poseedor,titulaire
propuestas,les propositions
moderador,modérateur
sudoeste,SW
tutoriales,tutoriels
asentamiento,règlement
Portugal,le Portugal
lawrence,lawrence
romano,romain
deberes,fonctions
valioso,de valeur
tono,Ton
colectas,collectionnures
ética,éthique
para siempre,pour toujours
continuar,dragon
ocupado,occupé
capitán,capitaine
fantástico,fantastique
imagina,imaginer
trae,apporte
calefacción,chauffage
pierna,jambe
cuello,cou
hd,HD
ala,aile
gobiernos,Gouvernements
adquisitivo,achat
guiones,scripts
a B C,abc
estéreo,stéréo
fijado,nommé
gusto,goût
relación comercial,transaction
cometer,s'engager
diminuto,minuscule
Operacional,opérationnel
carril,rail
aerolíneas,compagnies aériennes
liberal,libéral
camara en vivo,livecam
arrendajo,geai
excursiones,voyages
brecha,écart
laterales,côtés
tubo,tube
girar,se tourne
correspondiente,correspondant
descripciones,descriptions
cache,cache
cinturón,ceinture
chaqueta,veste
determinación,détermination
animación,animation
oráculo,oracle
er,er
Mateo,Matthieu
alquiler,bail
producciones,productions
aviación,aviation
aficiones,passe-temps
orgulloso,fier
exceso,excès
desastre,catastrophe
consola,console
comandos,commandes
jr,jr
telecomunicaciones,télécommunications
instructor,instructeur
gigante,géant
logrado,obtenu
heridos,blessures
Enviado,Expédié
asientos,des places
enfoques,approches
negocio,bizarre
alarma,alarme
Voltaje,Tension
Antonio,anthony
Nintendo,Nintendo
usual,habituel
cargando,Chargement en cours
estampillas,timbres
apareció,apparu
franklin,franc
ángulo,angle
robar,Rob
vinilo,vinyle
Destacar,points forts
minería,exploitation minière
diseñadores,designers
Melbourne,melbourne
en marcha,en cours
peor,pire
fotografías,imagerie
apuesta,pari
científicos,scientifiques
libertad,liberté
Wyoming,Wyoming
veintiuna,blackjack
argentina,Argentine
era,ère
convertir,convertir
posibilidad,possibilité
analista,analyste
notario,le commissaire
peligroso,dangereux
garaje,garage
excitante,passionnant
fiabilidad,fiabilité
cintas,strings
gcc,gcc
Desafortunadamente,Malheureusement
respectivamente,respectivement
voluntarios,bénévoles
adjunto,attachement
tono de llamada,sonnerie
Finlandia,Finlande
Morgan,Morgan
derivado,dérivé
Placer,plaisir
honor,honneur
áspid,aspic
orientado,orienté
Águila,Aigle
escritorio,ordinateurs de bureau
pantalones,les pantalons
Colón,Colomb
enfermera,infirmière
oración,prière
cita,rendez-vous
Talleres de trabajo,ateliers
huracán,ouragan
tranquilo,calmer
suerte,chance
gastos de envío,affranchissement
productor,producteur
representado,représentée
hipotecas,hypothèques
marcar,cadran
responsabilidades,responsabilités
queso,du fromage
cómic,bande dessinée
con cuidado,avec attention
chorro,jet
productividad,productivité
inversores,investisseurs
corona,couronner
par,par
subterráneo,sous la terre
diagnóstico,diagnostic
fabricante,fabricant
grieta,fissure
principio,principe
selecciones,choix
vacaciones,les vacances
pandilla,gang
semestre,semestre
calculado,calculé
fetiche,fétiche
se aplica,s'applique
casinos,casinos
apariencia,apparence
fumar,fumée
apache,apache
filtros,filtres
incorporado,incorporé
Nevada,nv
artesanía,artisanat
pastel,gâteau
cuadernos,des cahiers
aparte,une part
compañero,compagnon
ciego,aveugle
salón,salon
enojado,fou
algoritmo,algorithme
semi,semi
monedas,pièces de monnaie
andy,Andy
bruto,brut
fuertemente,fortement
cafetería,café
enamorado,Valentin
Hilton,hilton
conocido,ken
proteínas,protéines
horror,horreur
subo,sucrer
Exp,exp
familiar,familier
capaz,capable
Douglas,Douglas
debian,debian
hasta,jusqu'à
