French,Spanish
discours,habla
câble,cable
des principes,principios
suggestions,sugerencias
rural,rural
partagé,compartido
des sons,sonidos
remplacement,reemplazo
ruban,cinta
stratégique,estratégico
juge,juez
pourriel,correo no deseado
économie,ciencias económicas
acide,ácido
octets,bytes
cent,centavo
forcé,forzado
compatible,compatible
lutte,pelear
appartement,Departamento
la taille,altura
nul,nulo
zéro,cero
conférencier,vocero
déposé,archivado
gb,gb
Pays-Bas,Países Bajos
obtenir,obtener
avant JC,antes de Cristo
consultant,consultante
des loisirs,recreación
des bureaux,oficinas
designer,diseñador
rester,permanecer
géré,administrado
pr,relaciones públicas
échoué,fallido
mariage,matrimonio
rouler,rollo
Corée,Corea
banques,bancos
franc,fr
participants,Participantes
secret,secreto
bain,baño
aa,Automóvil club británico
kelly,kelly
pistes,Guías
négatif,negativo
austin,austin
favoris,favoritos
Toronto,Toronto
théâtre,teatro
ressorts,muelles
Missouri,Misuri
Andrew,Andrés
varié,vást
effectuer,llevar a cabo
sain,saludable
Traduction,traducción
estimations,estimados
Police de caractère,fuente
les atouts,activos
blessure,lesión
mt,monte
joseph,José
ministère,ministerio
Conducteurs,conductores
avocat,abogado
Les figures,cifras
marié,casado
protégé,protegido
proposition,propuesta
partage,intercambio
crême Philadelphia,Filadelfia
portail,portal
attendre,esperando
date d'anniversaire,cumpleaños
bêta,beta
échouer,fallar
gratuitement,gratis
bancaire,bancario
fonctionnaires,oficiales
Brian,brian
vers,hacia
a gagné,ganado
légèrement,levemente
aider,ayudar
conduite,conducta
contenue,contenido
lingerie,lencería
législation,legislación
appel,vocación
paramètres,parámetros
le jazz,jazz
portion,servicio
Sacs,pantalón
profils,perfiles
miami,Miami
des bandes dessinées,historietas
questions,asuntos
Maisons,casas
doc,Doc
postal,postal
des relations,relaciones
Tennessee,Tennesse
porter,vestir
les contrôles,control S
rupture,rotura
combiné,conjunto
ultime,último
Pays de Galles,Gales
représentant,representante
la fréquence,frecuencia
introduit,introducido
mineur,menor
terminer,terminar
départements,departamentos
résidents,residentes
c'est noté,señalado
affiché,desplegado
maman,mamá
réduit,reducido
la physique,física
rare,raro
dépensé,gastado
effectué,realizado
extrême,extremo
échantillons,muestras
davis,Davis
Daniel,Daniel
bars,barras
examiné,revisados
ligne,hilera
oz,onz
prévision,pronóstico
supprimé,remoto
aide,ayuda
simple,individual
administrateur,administrador
cycle,ciclo
les montants,cantidades
contenir,Contiene
précision,precisión
double,doble
augmenter,subir
USD,Dólar estadounidense
dormir,dormir
mg,mg
oiseau,pájaro
pharmacie,farmacia
Brésil,Brasil
création,creación
statique,estático
scène,escena
chasseur,cazador
adresses,direcciones
Dame,señora
cristal,cristal
célèbre,famoso
écrivain,escritor
président,presidente
la violence,violencia
Ventilateurs,aficionados
Oklahoma,Oklahoma
haut-parleurs,Altavoces
boire,bebida
académie,academia
dynamique,dinámica
genre,género
manger,come
permanent,permanente
agriculture,agricultura
dell,Dell
nettoyage,limpieza
constitue,que constituye
portefeuille,portafolio
pratique,práctico
livré,entregado
objets de collection,coleccionables
Infrastructure,infraestructura
exclusif,exclusivo
siège,asiento
préoccupations,preocupaciones
Couleur,color
vendeur,vendedor
initialement,originalmente
intel,intel
utilité,utilidades
philosophie,filosofía
régulation,regulación
officiers,oficiales
réduction,reducción
objectif,apuntar
offres,ofertas
renvoyé,referido
les soutiens,apoyos
nutrition,nutrición
enregistrement,grabación
Régions,regiones
junior,júnior
peage,peaje
les,les
cap,capa
Ann,Ana
anneaux,anillos
sens,sentido
Astuce,propina
secondaire,secundario
formidable,maravilloso
Mien,mía
Dames,señoras
Henri,Enrique
billet,billete
annoncé,Anunciado
deviner,adivinar
D'accord,acordado
la prévention,prevención
qui,quién
ski,esquí
football,fútbol
math,Matemáticas
importer,importar
affectation,destino
présence,presencia
instant,instante
mentionné,mencionado
automatique,automático
soins de santé,cuidado de la salud
affichage,visita
entretenu,mantenido
ch,ch
en augmentant,creciente
majorité,mayoria
connecté,conectado
Christ,Cristo
dan,dan
chiens,perros
Dakota du Sud,Dakota del Sur
directeurs,directores
aspects,aspectos
L'Autriche,Austria
devant,adelante
lune,Luna
participation,participación
schème,esquema
utilitaire,utilidad
Aperçu,avance
mouche,mosca
manière,conducta
matrice,matriz
contenant,que contiene
combinaison,combinación
développer,devolver
amendement,enmienda
malgré,A pesar de
force,fuerza
garanti,garantizado
Turquie,pavo
bibliothèques,bibliotecas
correct,adecuado
distribué,repartido
degrés,grados
Singapour,Singapur
entreprises,empresa
delta,delta
peur,temor
en cherchant,buscando
pouces,pulgadas
phénix,fénix
rs,rs
convention,convención
actions,Comparte
principal,principal
la fille,hija
debout,de pie
confort,comodidad
couleurs,colores
guerres,guerras
cisco,cisco
commandement,pedido
conservé,conservó
alpha,alfa
faire appel,apelación
croisière,crucero
prime,prima
certification,Certificación
précédemment,previamente
Hey,Oye
signet,marcador
immeubles,edificios
spécialités,especiales
battre,derrotar
disney,disney
Ménage,familiar
piles,baterías
adobe,adobe
fumeur,de fumar
BBC,bbc
devient,se convierte en
disques,accionamientos
les bras,brazos
Alabama,Alabama
thé,té
amélioré,mejorado
des arbres,árboles
aversion,avg
réaliser,lograr
position,posiciones
robe,vestido
abonnement,suscripción
Marchand,distribuidor
contemporain,contemporáneo
ciel,cielo
Utah,Utah
proche,cercano
ROM,ROM
transporté,transportado
arriver,ocurrir
exposition,exposición
panasonique,Panasonic
cacher,esconder
permanent,Permalink
Signature,firma
jeux d'argent,juego
référer,referir
meunier,molinero
disposition,provisión
en plein air,al aire libre
vêtements,ropa
causé,causado
luxe,lujo
babes,chicas
cadres,marcos
certainement,ciertamente
En effet,Por supuesto
un journal,periódico
jouet,juguete
circuit,circuito
couche,capa
imprimé,impreso
lent,lento
suppression,eliminación
Plus facile,más fácil
src,src
responsabilité,responsabilidad
marque déposée,marca comercial
hanche,cadera
imprimantes,impresoras
faqs,preguntas frecuentes
neuf,nueve
ajouter,añadido
Kentucky,Kentucky
principalement,principalmente
eric,Eric
endroit,lugar
Taylor,taylor
retracer,rastrear
imprimerie,huellas dactilares
dépenser,gastar
usine,fábrica
intérieur,interior
modifié,revisado
grandir,crecer
les Américains,estadounidenses
optique,óptico
promotion,promoción
relatif,relativo
incroyable,increíble
l'horloge,reloj
point,punto
VIH,VIH
identité,identidad
suites,suites
conversion,conversión
sentiment,sentimiento
caché,oculto
raisonnable,razonable
victoria,victoria
en série,de serie
soulagement,alivio
révision,revisión
haut débit,banda ancha
influence,influencia
rapport,proporción
pda,PDA
importance,importancia
pluie,lluvia
sur,sobre
dsl,dsl
planète,planeta
webmaster,administrador de página web
copies,copias
Recette,receta
zum,zum
permis,permiso
voyant,viendo
preuve,prueba
ADN,ADN
diffuser,difunto
tennis,tenis
basse,bajo
prescription,prescripción
chambre,Cuarto
vide,vacío
exemple,ejemplo
trou,agujero
animaux domestiques,mascotas
balade,paseo
autorisé,con licencia
orlando,orlando
Plus précisément,específicamente
Tim,Tim
bureau,oficina
Maine,Maine
sql,sql
représenter,representar
préservation,conservación
paire,par
idéal,ideal
spécifications,especificaciones
enregistré,grabado
enfiler,don
pièces,piezas
fini,finalizado
parcs,parques
dîner,cena
avocats,abogados
Sydney,Sydney
stress,estrés
crème,crema
SS,ss
courir,carreras
les tendances,tendencias
Oui,sí
découvrir,descubrir
ap,AP
motifs,patrones
des boites,cajas
Louisiane,Luisiana
collines,sierras
javascript,javascript
Quatrième,cuatro
nm,Nuevo Méjico
conseiller,tutor
mn,Minnesota
marché,mercado
nd,Dakota del Norte
mal,maldad
au courant,consciente
wilson,Wilson
forme,forma
évolution,evolución
irlandais,irlandesa
certificats,certificados
objectifs,objetivos
stations,estaciones
suggéré,sugirió
GPS,GPS
op,op
restes,permanece
accessoire,accidente
plus grand,más grande
entreprises,firmas
concerné,preocupado
euro,euro
opérateur,operador
structures,estructuras
générique,genérico
encyclopédie,enciclopedia
usage,uso
casquette,gorra
encrer,tinta
graphiques,gráficos
continu,continuo
mixte,mezclado
recensement,censo
interracial,interracial
Pic,cima
tn,Tennesse
compétitif,competitivo
exister,existe
roue,rueda
transit,tránsito
Fournisseurs,proveedores
sel,sal
compact,compacto
poésie,poesía
lumières,luces
suivi,seguimiento
ange,Ángel
cloche,campana
en gardant,acuerdo
préparation,preparación
tentative,intento
réception,recepción
allumettes,partidos
conformité,conformidad
largeur,ancho
bruit,ruido
moteurs,motores
Oubliez,olvidar
déployer,formación
discuté,discutido
précis,preciso
Stephen,stephen
Elizabeth,elizabeth
climat,clima
Réservations,reservas
épingler,alfiler
playstation,estación de juegos
de l'alcool,alcohol
grec,griego
instruction,instrucción
gérant,gerente
annotation,anotación
sœur,hermana
cru,crudo
différences,diferencias
marche à pied,caminando
Explique,explicar
plus petite,menor
nouveau,el más nuevo
établir,establecer
gnou,ñu
passé,sucedió
exprimé,expresado
jeff,jeff
Le degré,grado
tranchant,afilado
lesbiennes,lesbianas
ben,ben
voie,carril
paragraphe,párrafo
tuer,matar
mathématiques,matemáticas
aol,aol
compensation,compensación
crevé,ce
exportation,exportar
gestionnaires,gerentes
avion,aeronave
modules,módulos
Suède,Suecia
conflit,conflicto
mené,realizado
versions,versiones
employeur,empleador
se produire,ocurrir
pourcentage,porcentaje
sait,conocido
Mississippi,Misisipí
décris,describir
préoccuper,preocupación
sauvegarde,respaldo
demandé,solicitado
citoyens,los ciudadanos
Connecticut,Connecticut
patrimoine,herencia
rencontres,mensajes personales
immédiat,inmediato
en portant,tenencia
difficulté,problema
diffuser,propagar
entraîneur,entrenador
kevin,kevin
agricole,agrícola
développer,expandir
justificatif,secundario
public,audiencia
attribué,asignado
Jordan,Jordán
collections,colecciones
âge,siglos
participer,participar
prise de courant,enchufar
spécialiste,especialista
cuisiner,cocinera
affecter,afectar
vierge,Virgen
expérimenté,experimentado
enquête,investigación
soulevé,elevado
chapeau,sombrero
institution,institución
dirigé,dirigido
concessionnaires,distribuidores
recherche,buscando
sportif,deportivo
portion,Ayudar
perl,perl
affecté,afectado
liberté,lib
bicyclette,bicicleta
totalement,totalmente
assiette,plato
dépenses,gastos
indiquer,indicar
blond,Rubio
un B,ab
procédure,actas
favori,favorito
transmission,transmisión
Anderson,anderson
UTC,UTC
caractéristiques,características
der,der
perdre,perder
biologique,orgánico
chercher,buscar
expériences,experiencias
albums,álbumes
triche,trampa
extrêmement,extremadamente
Verzeichnis,vezeichnis
contrats,contrato
invités,huéspedes
hébergé,alojado
maladies,enfermedades
concernant,sobre
développeurs,desarrolladores
équivalent,equivalente
chimie,química
Tony,tony
quartier,vecindario
Nevada,Nevada
kits,kits
Thaïlande,Tailandia
variables,variables
ordre du jour,agenda
De toute façon,de todas formas
continue,continúa
des pistes,pistas
consultatif,consultivo
came,leva
curriculum,plan de estudios
logique,lógica
modèle,plantilla
prince,Príncipe
cercle,circulo
sol,tierra
subventions,subsidios
partout,en cualquier sitio
psychologie,psicología
réponses,respuestas
atlantique,atlántico
mouiller,mojado
conditions,circunstancias
edward,Eduardo
investisseur,inversor
identification,identificación
RAM,RAM
en quittant,dejando
faune,fauna silvestre
appareils électroménagers,accesorios
mat,mate
élémentaire,elemental
cuisson,Cocinando
Parlant,discurso
sponsors,patrocinadores
Renard,zorro
illimité,ilimitado
répondre,responder
tailles,tamaños
plaine,sencillo
sortir,Salida
entré,ingresó
l'Iran,Irán
bras,brazo
clés,teclas
lancement,lanzamiento
vague,ola
vérification,comprobación
Costa,costa
la Belgique,Bélgica
imprimable,imprimible
Saint,santo
actes,hechos
conseils,Guia
engrener,malla
Piste,sendero
mise en vigueur,aplicación
symbole,símbolo
artisanat,artesanía
Autoroute,autopista
copain,compañero
couverture,de tapa dura
observé,observado
doyen,decano
mettre en place,configuración
sondage,encuesta
réservation,reserva
glossaire,glosario
fiscal,fiscal
célébrité,celebridad
modes,estilos
denver,Denver
unix,unix
rempli,lleno
lier,vínculo
canaux,canales
Ericsson,Ericsson
annexe,apéndice
notifier,notificar
blues,blues
Chocolat,chocolate
pub,pub
portion,parte
portée,alcance
hampshire,hampshire
le fournisseur,proveedor
câbles,cables
coton,algodón
Bluetooth,Bluetooth
contrôlé,revisado
exigence,requisito
les autorités,autoridades
la biologie,biología
dentaire,dental
tué,delicado
frontière,frontera
ancien,antiguo
débat,debate
représentants,representantes
départs,empieza
grossesse,el embarazo
causes,causa
Arkansas,arkansas
Biographie,biografía
loisirs,ocio
attractions,atracciones
appris,aprendió
transactions,actas
carnet,computadora portátil
explorateur,explorador
historique,histórico
ci-joint,adjunto
ouvert,abrió
tm,tm
mari,marido
désactivée,discapacitado
autorisé,autorizado
fou,loco
A venir,próximo
Grande-Bretagne,Bretaña
concert,concierto
retraite,Jubilación
scores,puntuaciones
financement,financiación
Efficacité,eficiencia
SP,sp
comédie,comedia
adopté,adoptado
efficace,eficiente
weblog,weblog
linéaire,lineal
engagement,compromiso
spécialité,especialidad
ours,osos
jean,vaquero
sauter,brincar
transporteur,transportador
édité,editado
constant,constante
visa,visa
bouche,boca
juif,judío
mètre,metro
lié,vinculado
portulaire,Portland
interviews,entrevista
concepts,conceptos
NH,Nueva Hampshire
arme à feu,pistola
réfléchir,reflejar
pur,puro
livrer,entregar
merveille,preguntarse
cours,lecciones
fruit,Fruta
commence,comienza
qualifié,calificado
réforme,reforma
lentille,lente
alerte,alertas
traité,tratado
Découverte,descubrimiento
dessiner,dibujar
mysql,mysql
classifié,clasificado
relatif,relativo
présumer,asumir
confiance,confianza
Alliance,Alianza
féminin,fm
confirmer,confirmar
chaleureux,cálido
ni,ninguno
lewis,Luis
howard,Howard
hors ligne,desconectado
feuilles,sale de
ingénieur,ingeniero
mode de vie,estilo de vida
cohérent,consistente
remplacer,reemplazar
autorisation,autorización
Connexions,conexiones
inventaire,inventario
convertisseur,convertidor
organisation,organización
bébé,bebé
chèques,cheques
parvenu,alcanzó
devenant,convirtiéndose
safari,safari
objectif,objetivo
indiqué,indicado
du sucre,azúcar
équipage,tripulación
jambes,piernas
sam,sam
coller,palo
titres,valores
allen,Allen
PDT,pdt
relation,relación
activée,activado
genre,género
faire glisser,diapositiva
Montana,Montana
bénévole,voluntario
testé,probado
arrière,trasero
démocratique,democrático
améliorer,mejorar
la Suisse,Suiza
exact,exacto
bondir,ligado
paramètre,parámetro
adaptateur,adaptador
processeur,procesador
nœud,nodo
formel,formal
dimensions,dimensiones
contribuer,contribuir
fermer à clé,cerrar con llave
le hockey,hockey
tempête,tormenta
micro,micro
collèges,colegios
ordinateurs portables,laptops
mile,milla
montré,presentado
défis,desafíos
éditeurs,editores
Pour des hommes,de los hombres
filetage,hilos
bol,bol
suprême,supremo
frères,hermanos
reconnaissance,reconocimiento
présentation,presenta
refaire,árbitro
Char,tanque
soumission,sumisión
poupée,muñecas
estimation,estimar
encourager,alentar
marine,Armada
enfant,niño
réglementaire,regulador
inspection,inspección
consommateurs,consumidores
Annuler,cancelar
limites,límites
territoire,territorio
transaction,transacción
Manchester,Manchester
armes,armas
Peinture,pintura
retard,demora
pilote,piloto
sortie,toma de corriente
contributions,contribuciones
continu,continuo
dB,db
tchèque,checo
résultant,resultante
cambridge,cambridge
initiative,iniciativa
roman,novela
la poêle,sartén
exécution,ejecución
invalidité,discapacidad
augmente,aumentos
ultra,ultra
gagnant,ganador
Idaho,Idaho
prestataire,contratista
pH,pH
épisode,episodio
examen,examen
potier,alfarero
assiette,plato
pièces,obras de teatro
bulletin,boletín
ia,I a
pt,pt
indique,indica
modifier,modificar
oxford,Oxford
Adam,Adán
vraiment,verdaderamente
épinions,epinions
La peinture,cuadro
engagé,comprometido
extensif,extenso
abordable,accesible
univers,universo
candidat,candidato
bases de données,bases de datos
brevet,patentar
insérer,espacio
psp,psp
exceptionnel,sobresaliente
Ha,decir ah
manger,comiendo
perspective,perspectiva
prévu,planificado
en train de regarder,mirando
loge,presentar
Messager,Mensajero
miroir,espejo
tournoi,torneo
considération,consideración
ds,ds
rabais,descuento
sterling,libra esterlina
sessions,sesiones
noyau,núcleo
stocks,cepo
acheteurs,compradores
journaux,revistas
gris,gris
catalogue,Catálogo
ea,EA
jennifer,jennifer
Antonio,Antonio
accusé,cargado
vaste,amplio
Taïwan,taiwán
und,und
choisi,elegido
démo,manifestación
Grèce,Grecia
lg,lg
Suisse,suizo
sarah,sarah
clark,Clark
la main d'oeuvre,labor
détester,odio
Terminal,Terminal
éditeurs,editores
nuits,noches
au nom de,en nombre de
Caraïbes,caribe
liquide,líquido
riz,arroz
Nebraska,Nebraska
boucle,círculo
un salaire,salario
réservation,reserva
nourriture,alimentos
gourmet,gastrónomo
gardien,Guardia
correctement,adecuadamente
Orléans,Orleans
économie,ahorro
nfl,nfl
restant,restante
Empire,imperio
reprendre,reanudar
vingt,20
nouvellement,recién
augmenter,aumentar
préparer,preparar
avatar,avatar
garie,gary
"en fonction, dépendemment",dependiente
illégal,ilegal
expansion,expansión
varier,variar
centaines,cientos
Rome,Roma
arabe,árabe
lincoln,Lincoln
aidé,ayudó
premier,primer ministro
demain,mañana
acheté,comprado
Le Lait,Leche
décider,decidir
consentement,consentimiento
drame,drama
visiter,visitando
exécutant,ejecutando
centre ville,centro
clavier,teclado
concours,concurso
collecté,recogido
nw,noroeste
bandes,bandas
botte,bota
qui convient,apropiado
FF,ff
Tout à fait,absolutamente
des millions,millones
déjeuner,comida
Audit,auditoría
pousser,empujar
chambre,cámara
Guinée,Guinea
résultats,recomendaciones
muscle,músculo
avec,Con
iso,Yo asi
mettre en place,implementar
en cliquant,haciendo clic en
programmé,programado
les sondages,centro
typique,típico
la tour,torre
les vôtres,tuyo
somme,suma
masse,misericordioso
calculatrice,calculadora
significativement,significativamente
poulet,pollo
temporaire,temporal
assister,asistir
douche,ducha
alan,alan
Envoi en cours,enviando
jason,Jason
ce soir,esta noche
chère,querido
suffisant,suficiente
titulaire,holdel
coquille,cascarón
Province,provincia
catholique,católico
chêne,roble
T.V.A,IVA
sensibilisation,conciencia
vancouver,vancouver
gouverneur,gobernador
Bière,cerveza
semblait,pareció
contribution,contribución
la mesure,medición
nager,nadando
Spyware,spyware
formule,fórmula
Constitution,constitución
emballage,embalaje
solaire,solar
jose,José
attraper,captura
Jeanne,jane
Pakistan,Pakistán
ps,PD
fiable,de confianza
consultation,consulta
Nord Ouest,noroeste
Monsieur,señor
doute,duda
gagner,ganar
chercheur,descubridor
incapable,incapaz
périodes,periodos
salle de cours,salón de clases
Tâches,Tareas
la démocratie,democracia
attaques,ataque
kim,kim
fond d'écran,fondo de pantalla
marchandise,mercancías
const,const
la résistance,resistencia
des portes,puertas
symptômes,síntomas
centres de villégiature,resorts
plus grand,más grande
Mémorial,monumento
visiteur,visitante
double,mellizo
en avant,adelante
insérer,insertar
balte,Baltimore
passerelle,puerta
ky,Kentucky
pas,no
anciens élèves,alumni
dessin,dibujo
candidats,candidatos
Charlotte,charlotte
commandé,ordenado
biologique,biológico
combat,luchando
transition,transición
arrive,sucede
préférences,preferencias
espionner,espiar
romance,romance
instrument,instrumento
bruce,bruce
diviser,separar
thèmes,temas
pouvoirs,potestades
paradis,cielo
branlette,br
morceaux,bits
Enceinte,embarazada
à deux reprises,dos veces
classification,clasificación
concentré,enfocado
Egypte,Egipto
médecin,médico
hollywood,Hollywood
bonne affaire,negociar
Wikipédia,wikipedia
cellulaire,celular
Norvège,Noruega
Vermont,Vermont
demander,pidiendo
blocs,bloques
normalement,normalmente
lo,lo
spirituel,espiritual
chasse,caza
Diabète,diabetes
combinaison,traje
ml,ml
décalage,cambio
ébrécher,chip
résolution,res
asseoir,sentarse
corps,cuerpos
photographies,fotografías
Coupe,corte
Wow,Guau
Simon,Simón
écrivains,escritores
Des marques,marcas
souple,flexible
aimé,amado
favoris,favoritos
cartographie,cartografía
nombreux,numeroso
relativement,relativamente
des oiseaux,aves
la satisfaction,satisfacción
représente,representa
carboniser,carbonizarse
indexé,indexado
pittsburgh,Pittsburgh
supérieur,superior
préféré,privilegiado
enregistré,salvado
payant,pago
dessin animé,dibujos animados
coups,tiros
intellectuel,intelectual
moore,Moore
accordé,otorgado
les choix,opciones
carbone,carbón
dépenses,gasto
confortable,cómodo
magnétique,magnético
interaction,Interacción
écoute,escuchando
effectivement,efectivamente
enregistrement,registro
crise,crisis
perspectives,panorama
massif,masivo
Danemark,Dinamarca
employé,empleado
brillant,brillante
traiter,tratar
entête,encabezamiento
cs,cs
la pauvreté,pobreza
formé,formado
piano,piano
écho,eco
que,What
la grille,red
des draps,hojas
patrick,Patricio
expérimental,experimental
puerto,puertón
révolution,revolución
consolidation,consolidación
affichage,pantallas
plasma,plasma
permettant,permitido
gains,ganancias
VoIP,VoIP
mystère,misterio
paysage,paisaje
dépendant,dependiente
mécanique,mecánico
périple,viaje
Delaware,Delaware
enchère,ofertas
consultants,consultores
des risques,riesgos
bannière,bandera
demandeur,solicitante
charte,carta
figure,higo
barbara,Bárbara
la coopération,cooperación
comtés,condados
acquisition,adquisición
ports,puertos
mis en œuvre,implementado
sf,sf
répertoires,directorios
reconnu,Reconocido
rêves,Sueños
blogueur,blogger
notification,notificación
kg,kg
licence,Licencia
des stands,soportes
enseigner,enseñar
eu lieu,ocurrió
manuels scolaires,libros de texto
rapide,rápido
tirer,jalar
poilu,peludo
la diversité,diversidad
Cleveland,cleveland
Utah,Utah
inverser,marcha atrás
verser,depositar
séminaire,seminario
investissements,inversiones
latina,latina
nasa,nasa
roues,ruedas
spécifier,especificar
accessibilité,accesibilidad
néerlandais,holandés
sensible,sensible
modèles,plantillas
formats,formatos
languette,pestaña
dépend,depende
bottes,botas
titulaire,sostiene
routeur,enrutador
béton,hormigón
si,si
édition,edición
Pologne,Polonia
dossier,carpeta
aux femmes,De las mujeres
CSS,CSS
achèvement,terminación
télécharger,subir
impulsion,legumbres
les universités,universidades
technique,técnica
entrepreneurs,contratistas
vote,votación
tribunaux,tribunales
notification,notificaciones
abonnements,suscripciones
calculer,calcular
mc,mc
detroit,detroit
Alexandre,Alejandro
diffuser,transmisión
converti,convertido
métro,metro
toshiba,toshiba
anniversaire,aniversario
amélioration,mejoras
déshabiller,banda
spécification,especificación
perle,perla
accident,accidente
pseudo,mella
accessible,accesible
accessoire,accesorio
résident,residente
terrain,trama
quantité,cantidad
peut-être,posiblemente
Compagnie aérienne,aerolínea
typiquement,típicamente
représentation,representación
qui concerne,respecto
pompe,bomba
existe,existe
arrangements,preparativos
lisse,liso
conférences,conferencias
uniprotkb,uniprotkb
frapper,Huelga
consommation,consumo
Birmingham,birmingham
clignotant,brillante
lp,lp
étroit,estrecho
après midi,tarde
menace,amenaza
enquêtes,encuestas
séance,sentado
en mettant,poniendo
consultant,consultor
manette,controlador
la possession,propiedad
comités,comités
législatif,legislativo
des chercheurs,investigadores
Vietnam,Vietnam
bande annonce,remolque
annane,Ana
château,castillo
jardins,jardines
manqué,omitido
Malaisie,Malasia
Se désabonner,darse de baja
antique,antiguo
Étiquettes,etiquetas
disposé,dispuesto
bio,bio
moléculaire,molecular
agissant,interino
têtes,cabezas
stocké,almacenado
examen,examen
logos,logotipos
résidence,residencia
Avocats,abogados
antiquités,antigüedades
densité,densidad
cent,centenar
ryan,ryan
les opérateurs,operadores
étrange,extraño
durable,sostenible
philippines,Filipinas
statistique,estadístico
des lits,camas
mention,mencionar
innovation,innovación
pcs,PCS
employeurs,empleadores
gris,gris
parallèle,paralelo
honda,honda
modifié,modificado
fonctionner,funcionar
factures,facturas
gras,negrita
salle de bains,cuarto de baño
stable,estable
opéra,ópera
définitions,definiciones
von,von
médecins,médicos
cours,lección
cinéma,cine
actif,activo
agile,Ag
analyse,escanear
élections,elecciones
en buvant,Bebiendo
réaction,reacción
Vide,blanco
amélioré,mejorado
intitulé,intitulado
sévère,grave
produire,generar
inoxydable,inoxidable
journaux,periódicos
hôpitaux,hospitales
vi,vi
de luxe,de lujo
humour,humor
vieilli,Envejecido
moniteurs,monitores
exception,excepción
vivait,vivido
durée,duración
masse,a granel
avec succès,exitosamente
Indonésie,Indonesia
en vertu de,de conformidad con
Sci,sci
en tissu,tela
EDT,EDT
visites,visitas
principalement,ante todo
serré,ajustado
domaines,dominios
capacités,capacidades
pem,pmid
contraste,contraste
recommandation,recomendación
en volant,volador
recrutement,reclutamiento
péché,pecado
Berlin,Berlina
mignonne,lindo
organisé,organizado
Ba,licenciado en Letras
para,paraca
Siemens,siemens
adoption,adopción
amélioration,mejorando
Cr,cr
cher,costoso
censé,quiso decir
Capturer,capturar
livres sterling,libras
buffle,búfalo
organisations,organizaciones
avion,plano
pg,pg
expliqué,explicado
la graine,semilla
programmes,programas
désir,deseo
compétence,pericia
mécanisme,mecanismo
camping,cámping
ee,ee
bijoux,joyería
se rencontre,Satisface
bien-être,bienestar
pair,mirar
attrapé,atrapó
finalement,finalmente
marqué,marcado
conduit,impulsado
mesuré,Medido
mec,mediación
bouteille,botella
les accords,acuerdos
considérant,considerando
innovant,innovador
marshall,marshall
massage,masaje
caoutchouc,caucho
conclusion,conclusión
fermeture,clausura
tampa,tampa
mille,mil
Viande,carne
Légende,leyenda
la grâce,gracia
Susan,Susan
ing,En g
ks,Kansas
adams,Adams
python,pitón
monstre,monstruo
alex,Alex
claquer,estallido
villa,villa
OS,hueso
Colonnes,columnas
troubles,trastornos
Bugs,insectos
collaboration,colaboración
hamilton,Hamilton
détection,detección
ftp,ftp
biscuits,galletas
intérieur,interno
formation,formación
Didacticiel,tutorial
mec,medicina
ingénieurs,ingenieros
entité,entidad
Croisières,cruceros
portail,portón
titulaire,poseedor
les propositions,propuestas
modérateur,moderador
SW,sudoeste
tutoriels,tutoriales
règlement,asentamiento
le Portugal,Portugal
lawrence,lawrence
romain,romano
fonctions,deberes
de valeur,valioso
Ton,tono
collectionnures,colectas
éthique,ética
pour toujours,para siempre
dragon,continuar
occupé,ocupado
capitaine,capitán
fantastique,fantástico
imaginer,imagina
apporte,trae
chauffage,calefacción
jambe,pierna
cou,cuello
HD,hd
aile,ala
Gouvernements,gobiernos
achat,adquisitivo
scripts,guiones
abc,a B C
stéréo,estéreo
nommé,fijado
goût,gusto
transaction,relación comercial
s'engager,cometer
minuscule,diminuto
opérationnel,Operacional
rail,carril
compagnies aériennes,aerolíneas
libéral,liberal
livecam,camara en vivo
geai,arrendajo
voyages,excursiones
écart,brecha
côtés,laterales
tube,tubo
se tourne,girar
correspondant,correspondiente
descriptions,descripciones
cache,cache
ceinture,cinturón
veste,chaqueta
détermination,determinación
animation,animación
oracle,oráculo
er,er
Matthieu,Mateo
bail,alquiler
productions,producciones
aviation,aviación
passe-temps,aficiones
fier,orgulloso
excès,exceso
catastrophe,desastre
console,consola
commandes,comandos
jr,jr
télécommunications,telecomunicaciones
instructeur,instructor
géant,gigante
obtenu,logrado
blessures,heridos
Expédié,Enviado
des places,asientos
approches,enfoques
bizarre,negocio
alarme,alarma
Tension,Voltaje
anthony,Antonio
Nintendo,Nintendo
habituel,usual
Chargement en cours,cargando
timbres,estampillas
apparu,apareció
franc,franklin
angle,ángulo
Rob,robar
vinyle,vinilo
points forts,Destacar
exploitation minière,minería
designers,diseñadores
melbourne,Melbourne
en cours,en marcha
pire,peor
imagerie,fotografías
pari,apuesta
scientifiques,científicos
liberté,libertad
Wyoming,Wyoming
blackjack,veintiuna
Argentine,argentina
ère,era
convertir,convertir
possibilité,posibilidad
analyste,analista
le commissaire,notario
dangereux,peligroso
garage,garaje
passionnant,excitante
fiabilité,fiabilidad
strings,cintas
gcc,gcc
Malheureusement,Desafortunadamente
respectivement,respectivamente
bénévoles,voluntarios
attachement,adjunto
sonnerie,tono de llamada
Finlande,Finlandia
Morgan,Morgan
dérivé,derivado
plaisir,Placer
honneur,honor
aspic,áspid
orienté,orientado
Aigle,Águila
ordinateurs de bureau,escritorio
les pantalons,pantalones
Colomb,Colón
